ticket_id,created_date,category,priority,assigned_team,status,resolution_time_hrs,is_escalated,server_id
TKT-1,2026-01-23,Network,P1,Team C,Resolved,16.85,0,Server-E
TKT-2,2026-01-16,Network,P4,Team A,Resolved,7.65,0,Server-E
TKT-3,2026-03-20,Network,P2,Team D,Resolved,32.89,0,Server-A
TKT-4,2026-02-02,Hardware,P4,Team C,Escalated,12.04,0,Server-A
TKT-5,2025-12-17,Network,P4,Team A,Escalated,61.17,0,Server-A
TKT-6,2025-12-12,Security,P1,Team D,Resolved,40.19,0,Server-E
TKT-7,2025-07-21,Hardware,P1,Team A,Open,17.18,0,Server-A
TKT-8,2026-05-02,Hardware,P1,Team D,Escalated,33.19,0,Server-B
TKT-9,2025-11-23,Software,P3,Team B,Open,19.96,0,Server-E
TKT-10,2025-11-28,Hardware,P2,Team B,Escalated,27.94,0,Server-C
TKT-11,2025-07-13,Network,P2,Team A,Escalated,29.48,0,Server-B
TKT-12,2025-06-07,Software,P2,Team D,Escalated,63.81,1,Server-B
TKT-13,2025-12-03,Software,P2,Team B,Open,40.86,0,Server-E
TKT-14,2026-01-17,Security,P4,Team C,Resolved,71.81,0,Server-E
TKT-15,2025-08-16,Security,P1,Team A,Resolved,11.85,0,Server-D
TKT-16,2025-10-01,Network,P4,Team D,Open,71.72,0,Server-E
TKT-17,2025-06-15,Network,P1,Team C,Open,25.15,0,Server-D
TKT-18,2026-01-20,Hardware,P4,Team A,Open,63.19,0,Server-E
TKT-19,2025-11-18,Hardware,P1,Team C,Open,37.04,0,Server-B
TKT-20,2025-07-25,Software,P2,Team A,Open,24.02,0,Server-A
TKT-21,2025-06-21,Software,P3,Team B,Resolved,18.1,0,Server-A
TKT-22,2025-10-31,Security,P1,Team B,Resolved,47.84,0,Server-C
TKT-23,2025-09-26,Security,P2,Team B,Open,23.13,0,Server-D
TKT-24,2025-07-15,Security,P1,Team B,Resolved,5.55,0,Server-E
TKT-25,2026-01-22,Hardware,P2,Team A,Resolved,51.26,0,Server-B
TKT-26,2025-06-05,Network,P1,Team C,Resolved,37.51,0,Server-D
TKT-27,2026-05-25,Hardware,P2,Team D,Resolved,56.71,1,Server-B
TKT-28,2026-02-23,Network,P1,Team D,Escalated,31.07,1,Server-A
TKT-29,2025-07-15,Network,P1,Team D,Open,25.09,0,Server-B
TKT-30,2025-11-04,Hardware,P2,Team D,Resolved,30.95,0,Server-D
TKT-31,2026-04-20,Hardware,P1,Team D,Open,7.95,0,Server-A
TKT-32,2025-09-25,Hardware,P2,Team D,Escalated,35.18,1,Server-A
TKT-33,2026-02-22,Hardware,P4,Team A,Escalated,19.83,1,Server-C
TKT-34,2026-05-10,Security,P4,Team B,Resolved,22.07,0,Server-E
TKT-35,2026-04-25,Network,P3,Team A,Resolved,42.48,0,Server-A
TKT-36,2025-06-21,Network,P2,Team A,Open,5.83,0,Server-D
TKT-37,2025-10-13,Network,P2,Team A,Open,6.82,0,Server-C
TKT-38,2026-03-27,Hardware,P3,Team B,Escalated,29.1,0,Server-D
TKT-39,2025-08-11,Software,P1,Team A,Escalated,45.1,0,Server-A
TKT-40,2025-07-12,Hardware,P3,Team B,Escalated,63.54,0,Server-C
TKT-41,2026-06-05,Software,P2,Team D,Open,50.95,0,Server-E
TKT-42,2026-04-07,Software,P1,Team B,Escalated,9.2,0,Server-E
TKT-43,2026-04-14,Hardware,P3,Team C,Open,15.95,0,Server-B
TKT-44,2025-07-27,Software,P4,Team C,Resolved,7.55,1,Server-C
TKT-45,2025-11-14,Network,P1,Team C,Resolved,46.24,0,Server-B
TKT-46,2025-06-06,Security,P4,Team A,Resolved,6.34,0,Server-E
TKT-47,2026-01-20,Network,P3,Team B,Escalated,10.05,0,Server-C
TKT-48,2026-01-28,Network,P3,Team B,Open,18.72,0,Server-C
TKT-49,2025-09-19,Security,P2,Team B,Resolved,70.31,0,Server-D
TKT-50,2026-06-01,Network,P2,Team C,Escalated,57.96,0,Server-C
TKT-51,2026-06-01,Hardware,P1,Team D,Resolved,61.96,0,Server-B
TKT-52,2026-05-20,Security,P3,Team C,Resolved,16.83,0,Server-D
TKT-53,2026-05-06,Software,P3,Team A,Escalated,25.93,1,Server-E
TKT-54,2026-05-26,Software,P1,Team A,Escalated,13.68,0,Server-A
TKT-55,2025-10-12,Network,P4,Team C,Open,56.84,1,Server-E
TKT-56,2025-12-08,Network,P4,Team B,Escalated,4.15,1,Server-A
TKT-57,2025-07-18,Hardware,P3,Team D,Resolved,68.37,0,Server-E
TKT-58,2025-11-19,Software,P1,Team C,Open,22.96,1,Server-C
TKT-59,2025-08-31,Security,P3,Team B,Resolved,30.85,1,Server-B
TKT-60,2026-03-11,Software,P4,Team A,Escalated,21.37,1,Server-E
TKT-61,2026-05-16,Software,P4,Team D,Escalated,48.97,1,Server-B
TKT-62,2026-05-14,Network,P3,Team C,Resolved,59.11,0,Server-C
TKT-63,2025-06-30,Hardware,P2,Team B,Resolved,4.28,1,Server-E
TKT-64,2025-07-31,Network,P4,Team D,Open,41.87,1,Server-D
TKT-65,2026-05-10,Security,P2,Team B,Open,49.82,0,Server-D
TKT-66,2025-10-24,Hardware,P2,Team D,Resolved,40.58,0,Server-D
TKT-67,2025-08-26,Hardware,P4,Team C,Escalated,44.5,1,Server-E
TKT-68,2026-04-23,Security,P2,Team D,Escalated,19.4,0,Server-C
TKT-69,2025-08-08,Security,P2,Team C,Escalated,6.5,0,Server-B
TKT-70,2026-02-16,Software,P3,Team C,Open,6.72,0,Server-B
TKT-71,2026-03-18,Security,P2,Team B,Resolved,30.46,0,Server-E
TKT-72,2025-10-20,Security,P4,Team A,Resolved,60.14,1,Server-E
TKT-73,2026-04-17,Network,P4,Team D,Resolved,67.93,0,Server-D
TKT-74,2025-07-27,Security,P2,Team D,Resolved,20.38,1,Server-A
TKT-75,2025-10-08,Security,P3,Team D,Open,12.72,1,Server-B
TKT-76,2025-10-22,Network,P4,Team A,Resolved,46.64,0,Server-D
TKT-77,2026-04-12,Hardware,P1,Team C,Escalated,24.24,1,Server-C
TKT-78,2026-03-04,Software,P4,Team C,Escalated,18.91,0,Server-D
TKT-79,2025-10-02,Network,P1,Team C,Resolved,47.16,0,Server-A
TKT-80,2026-03-10,Hardware,P2,Team A,Open,11.82,0,Server-D
TKT-81,2026-06-05,Network,P2,Team D,Open,19.19,0,Server-B
TKT-82,2025-07-15,Network,P2,Team C,Resolved,42.09,0,Server-E
TKT-83,2026-03-18,Security,P4,Team B,Resolved,43.04,0,Server-A
TKT-84,2025-10-27,Software,P1,Team A,Escalated,38.82,0,Server-A
TKT-85,2026-01-05,Software,P1,Team D,Escalated,8.49,0,Server-D
TKT-86,2025-10-06,Hardware,P4,Team B,Open,38.04,0,Server-E
TKT-87,2025-12-29,Security,P4,Team D,Open,43.07,0,Server-B
TKT-88,2025-07-01,Network,P3,Team D,Resolved,54.28,1,Server-C
TKT-89,2025-09-07,Network,P4,Team C,Resolved,35.62,0,Server-C
TKT-90,2025-06-21,Software,P3,Team C,Open,1.72,0,Server-A
TKT-91,2025-08-04,Hardware,P4,Team D,Open,54.83,1,Server-D
TKT-92,2025-07-19,Security,P1,Team A,Escalated,16.73,0,Server-C
TKT-93,2025-11-26,Software,P4,Team C,Escalated,71.76,0,Server-C
TKT-94,2026-02-24,Security,P3,Team C,Escalated,17.37,0,Server-C
TKT-95,2026-05-09,Network,P2,Team B,Resolved,53.44,0,Server-E
TKT-96,2025-11-28,Software,P1,Team B,Escalated,17.15,0,Server-C
TKT-97,2025-10-16,Network,P2,Team C,Resolved,70.17,0,Server-B
TKT-98,2025-10-15,Security,P1,Team A,Open,21.19,1,Server-D
TKT-99,2025-09-28,Software,P2,Team A,Escalated,67.82,1,Server-A
TKT-100,2025-07-09,Network,P4,Team D,Resolved,41.97,0,Server-B
TKT-101,2025-06-28,Hardware,P3,Team A,Resolved,9.41,1,Server-E
TKT-102,2025-07-09,Hardware,P4,Team D,Escalated,22.11,1,Server-C
TKT-103,2026-01-26,Network,P1,Team B,Open,15.98,0,Server-B
TKT-104,2026-02-25,Hardware,P2,Team A,Resolved,1.19,1,Server-E
TKT-105,2026-01-19,Security,P3,Team A,Resolved,21.46,0,Server-D
TKT-106,2026-03-03,Network,P2,Team C,Open,42.88,0,Server-D
TKT-107,2026-05-15,Network,P2,Team B,Escalated,59.69,0,Server-A
TKT-108,2026-05-13,Hardware,P3,Team C,Escalated,9.83,0,Server-D
TKT-109,2026-01-15,Software,P4,Team D,Resolved,43.46,1,Server-C
TKT-110,2026-04-02,Software,P1,Team A,Resolved,69.3,0,Server-C
TKT-111,2025-07-15,Network,P2,Team D,Open,47.26,0,Server-B
TKT-112,2026-01-07,Security,P4,Team A,Escalated,25.71,0,Server-C
TKT-113,2026-02-09,Network,P2,Team C,Escalated,50.25,0,Server-D
TKT-114,2025-07-20,Network,P4,Team A,Escalated,18.92,0,Server-D
TKT-115,2025-09-20,Network,P4,Team D,Resolved,14.32,0,Server-E
TKT-116,2026-05-02,Security,P4,Team A,Resolved,19.96,0,Server-C
TKT-117,2026-02-28,Security,P4,Team A,Resolved,70.09,0,Server-B
TKT-118,2026-05-06,Software,P1,Team D,Resolved,16.95,0,Server-D
TKT-119,2026-03-11,Network,P2,Team D,Open,21.72,0,Server-D
TKT-120,2025-06-11,Security,P4,Team B,Escalated,40.14,1,Server-B
TKT-121,2025-12-18,Hardware,P1,Team C,Escalated,25.13,0,Server-A
TKT-122,2026-05-21,Software,P3,Team D,Resolved,32.7,1,Server-C
TKT-123,2025-09-03,Software,P4,Team D,Escalated,62.74,0,Server-E
TKT-124,2025-11-16,Security,P2,Team D,Resolved,23.59,1,Server-D
TKT-125,2026-01-14,Security,P2,Team D,Resolved,9.96,0,Server-A
TKT-126,2025-09-14,Security,P1,Team D,Resolved,52.29,1,Server-B
TKT-127,2025-10-26,Network,P4,Team C,Escalated,45.25,1,Server-A
TKT-128,2025-06-24,Software,P4,Team C,Open,52.03,1,Server-E
TKT-129,2026-04-25,Network,P1,Team B,Open,49.59,0,Server-B
TKT-130,2025-09-13,Network,P4,Team A,Open,50.98,0,Server-D
TKT-131,2025-12-14,Hardware,P3,Team A,Resolved,24.03,0,Server-C
TKT-132,2025-08-11,Software,P3,Team D,Resolved,18.34,1,Server-E
TKT-133,2026-02-24,Hardware,P2,Team B,Resolved,44.27,1,Server-E
TKT-134,2025-06-27,Hardware,P4,Team B,Resolved,33.74,0,Server-D
TKT-135,2026-03-22,Software,P1,Team D,Escalated,49.11,0,Server-A
TKT-136,2026-01-05,Security,P3,Team C,Open,69.3,0,Server-D
TKT-137,2025-09-22,Software,P2,Team D,Escalated,8.57,1,Server-E
TKT-138,2025-06-05,Software,P3,Team C,Resolved,70.43,1,Server-C
TKT-139,2026-04-27,Network,P1,Team D,Escalated,56.08,0,Server-E
TKT-140,2026-05-26,Software,P2,Team B,Open,18.79,0,Server-A
TKT-141,2026-04-01,Network,P3,Team D,Resolved,42.15,0,Server-A
TKT-142,2025-07-11,Software,P3,Team D,Resolved,15.26,0,Server-E
TKT-143,2026-05-28,Software,P2,Team C,Escalated,69.68,0,Server-C
TKT-144,2026-04-08,Network,P4,Team A,Resolved,54.54,0,Server-D
TKT-145,2025-11-22,Software,P1,Team D,Resolved,19.78,0,Server-D
TKT-146,2025-06-17,Software,P3,Team D,Open,67.76,0,Server-B
TKT-147,2025-11-15,Security,P1,Team C,Open,16.72,0,Server-D
TKT-148,2025-12-02,Software,P4,Team A,Resolved,4.22,0,Server-C
TKT-149,2025-07-20,Security,P1,Team A,Resolved,64.0,0,Server-D
TKT-150,2026-01-28,Security,P3,Team D,Open,53.7,0,Server-D
TKT-151,2026-06-04,Network,P4,Team D,Escalated,3.32,0,Server-B
TKT-152,2025-12-04,Security,P4,Team B,Escalated,8.05,0,Server-E
TKT-153,2026-02-22,Software,P1,Team D,Escalated,14.48,0,Server-D
TKT-154,2026-05-13,Network,P2,Team A,Resolved,56.86,0,Server-B
TKT-155,2026-02-22,Hardware,P1,Team B,Open,16.33,0,Server-C
TKT-156,2026-05-31,Hardware,P1,Team C,Resolved,71.11,0,Server-B
TKT-157,2026-05-20,Network,P1,Team B,Resolved,26.44,0,Server-E
TKT-158,2025-11-12,Software,P1,Team B,Escalated,4.72,1,Server-E
TKT-159,2025-10-27,Network,P1,Team D,Escalated,56.24,0,Server-D
TKT-160,2025-11-23,Hardware,P1,Team C,Escalated,46.68,0,Server-A
TKT-161,2025-10-19,Security,P4,Team D,Open,8.67,1,Server-A
TKT-162,2025-08-23,Network,P3,Team B,Resolved,9.96,0,Server-D
TKT-163,2026-04-10,Software,P4,Team D,Resolved,57.31,0,Server-E
TKT-164,2026-05-02,Hardware,P4,Team D,Resolved,30.38,1,Server-D
TKT-165,2025-11-11,Security,P1,Team C,Escalated,23.19,0,Server-C
TKT-166,2026-02-08,Hardware,P4,Team A,Resolved,60.06,0,Server-D
TKT-167,2025-07-29,Network,P3,Team B,Open,5.26,0,Server-A
TKT-168,2026-02-01,Security,P3,Team D,Open,4.65,0,Server-E
