log_id,timestamp,server_id,log_level,uptime_percentage,response_time_ms
LOG-1,2025-12-21 03:13:19,Server-E,WARN,99.55,691.7
LOG-2,2025-08-31 00:56:51,Server-D,INFO,92.69,960.79
LOG-3,2025-12-25 05:33:29,Server-A,WARN,94.14,332.57
LOG-4,2025-10-13 06:08:37,Server-C,ERROR,93.51,491.37
LOG-5,2026-05-13 16:19:23,Server-A,INFO,96.71,1006.64
LOG-6,2026-04-04 06:20:32,Server-B,CRITICAL,94.23,1426.98
LOG-7,2026-01-06 11:33:48,Server-C,WARN,91.29,1159.1
LOG-8,2026-01-12 18:34:10,Server-A,CRITICAL,96.2,90.79
LOG-9,2025-09-15 18:25:50,Server-B,INFO,99.0,1367.39
LOG-10,2025-09-08 06:39:48,Server-B,ERROR,92.68,1203.62
LOG-11,2026-04-02 16:59:35,Server-B,CRITICAL,96.84,1294.07
LOG-12,2025-12-11 11:32:06,Server-E,ERROR,89.29,1474.13
LOG-13,2026-03-12 08:51:11,Server-A,CRITICAL,87.95,595.82
LOG-14,2025-06-16 11:26:04,Server-D,WARN,89.64,333.68
LOG-15,2025-11-05 09:42:23,Server-C,INFO,96.8,1410.98
LOG-16,2026-03-22 16:18:31,Server-E,CRITICAL,88.28,1307.75
LOG-17,2025-08-21 14:28:23,Server-C,ERROR,98.35,1922.3
LOG-18,2026-06-06 00:43:38,Server-A,WARN,89.64,1837.83
LOG-19,2026-05-08 13:59:10,Server-C,CRITICAL,92.29,511.68
LOG-20,2025-07-30 19:58:28,Server-E,WARN,91.7,1688.82
LOG-21,2025-12-05 07:50:28,Server-B,WARN,91.25,859.01
LOG-22,2025-08-03 06:17:33,Server-A,ERROR,97.68,1456.76
LOG-23,2026-01-08 20:44:12,Server-D,WARN,90.26,498.72
LOG-24,2025-11-16 00:04:29,Server-C,INFO,90.22,732.87
LOG-25,2026-05-12 00:01:15,Server-B,WARN,93.77,1414.58
LOG-26,2025-06-19 21:43:27,Server-B,WARN,98.89,536.26
LOG-27,2026-03-26 04:00:26,Server-C,ERROR,88.4,700.06
LOG-28,2025-06-15 07:28:42,Server-D,INFO,98.29,1376.16
LOG-29,2026-05-25 18:02:18,Server-A,INFO,92.22,1790.23
LOG-30,2025-07-01 14:06:09,Server-B,WARN,91.71,1653.9
LOG-31,2026-03-30 05:06:35,Server-C,CRITICAL,92.27,1727.52
LOG-32,2025-10-11 16:11:49,Server-C,CRITICAL,92.7,1112.94
LOG-33,2025-07-24 17:35:21,Server-B,INFO,95.71,1938.03
LOG-34,2025-11-04 22:49:42,Server-A,WARN,99.4,318.05
LOG-35,2026-02-22 14:51:35,Server-C,ERROR,98.83,425.91
LOG-36,2026-05-17 02:34:34,Server-E,INFO,91.55,585.82
LOG-37,2026-01-31 15:46:25,Server-A,WARN,98.19,1838.04
LOG-38,2025-08-11 06:19:12,Server-D,ERROR,89.78,1556.17
LOG-39,2026-03-09 19:17:28,Server-A,INFO,92.01,1799.82
LOG-40,2026-01-22 19:02:26,Server-A,INFO,93.4,1433.87
LOG-41,2025-09-16 06:04:44,Server-A,WARN,99.7,1129.88
LOG-42,2025-10-05 17:23:33,Server-D,INFO,88.4,748.81
LOG-43,2026-03-23 16:41:23,Server-E,WARN,93.74,1533.4
LOG-44,2026-05-19 05:13:40,Server-C,CRITICAL,87.44,228.36
LOG-45,2025-06-11 14:15:53,Server-B,INFO,94.95,760.9
LOG-46,2025-12-21 21:41:47,Server-A,INFO,88.53,120.9
LOG-47,2025-06-13 12:57:02,Server-A,WARN,93.85,1567.45
LOG-48,2025-11-16 16:23:00,Server-B,WARN,95.91,987.33
LOG-49,2025-07-10 03:21:41,Server-C,ERROR,89.13,1947.26
LOG-50,2026-03-30 15:41:16,Server-D,INFO,91.93,1418.39
LOG-51,2026-04-25 01:31:12,Server-C,CRITICAL,94.42,1678.73
LOG-52,2025-07-29 15:39:24,Server-B,CRITICAL,95.82,1021.36
LOG-53,2025-09-20 14:53:16,Server-A,WARN,97.68,1482.46
LOG-54,2025-08-30 18:42:05,Server-B,WARN,90.51,1299.39
LOG-55,2025-09-27 19:32:36,Server-E,INFO,99.65,590.49
LOG-56,2026-02-10 07:12:18,Server-E,ERROR,97.41,1646.16
LOG-57,2025-09-13 17:39:49,Server-D,WARN,85.84,1492.33
LOG-58,2026-02-16 15:03:40,Server-D,INFO,93.99,795.94
LOG-59,2026-01-17 22:47:43,Server-D,WARN,94.93,1206.98
LOG-60,2025-10-15 16:54:51,Server-D,CRITICAL,91.9,1775.67
LOG-61,2025-06-23 15:35:09,Server-E,INFO,92.3,1160.33
LOG-62,2025-07-30 18:56:02,Server-D,ERROR,94.97,1936.38
LOG-63,2025-08-10 14:36:08,Server-D,INFO,97.3,1225.23
LOG-64,2026-04-04 09:01:38,Server-C,INFO,90.82,993.43
LOG-65,2025-08-16 23:31:23,Server-E,WARN,94.06,733.42
LOG-66,2026-01-22 04:16:11,Server-A,CRITICAL,90.68,948.02
LOG-67,2026-01-16 09:30:41,Server-C,ERROR,90.31,219.94
LOG-68,2026-03-05 17:21:41,Server-C,ERROR,87.45,1171.04
LOG-69,2026-02-20 03:30:16,Server-D,INFO,97.66,1984.14
LOG-70,2025-07-26 13:52:10,Server-A,WARN,96.17,478.66
LOG-71,2025-08-06 06:25:53,Server-E,CRITICAL,99.2,1452.69
LOG-72,2025-06-27 04:28:11,Server-D,ERROR,86.25,694.09
LOG-73,2026-01-09 04:55:34,Server-E,CRITICAL,94.32,1509.23
LOG-74,2026-05-22 19:08:19,Server-B,WARN,99.7,1841.69
LOG-75,2025-08-15 03:22:36,Server-A,WARN,97.03,667.36
LOG-76,2026-04-13 15:28:30,Server-E,ERROR,87.08,1468.67
LOG-77,2026-02-01 22:58:36,Server-C,WARN,93.58,749.55
LOG-78,2025-11-19 15:36:07,Server-D,ERROR,93.49,1265.63
LOG-79,2025-09-14 21:30:43,Server-A,INFO,96.1,1286.18
LOG-80,2026-03-13 15:09:37,Server-E,WARN,91.92,252.71
LOG-81,2026-04-08 13:41:16,Server-D,CRITICAL,97.38,1127.61
LOG-82,2026-04-13 05:02:04,Server-A,ERROR,93.51,1746.85
LOG-83,2025-12-26 09:44:55,Server-B,WARN,85.5,1548.09
LOG-84,2025-07-28 05:16:17,Server-D,CRITICAL,94.64,1413.06
LOG-85,2026-04-21 07:02:02,Server-E,INFO,94.04,640.08
LOG-86,2025-08-02 12:29:30,Server-C,WARN,97.12,1173.31
LOG-87,2026-02-04 15:42:57,Server-A,ERROR,87.18,737.23
LOG-88,2025-07-21 10:35:01,Server-D,CRITICAL,90.37,389.02
LOG-89,2026-05-26 05:44:04,Server-A,INFO,99.47,1218.08
LOG-90,2025-09-20 10:06:34,Server-D,CRITICAL,93.42,470.26
LOG-91,2025-08-14 12:25:15,Server-A,ERROR,99.58,935.71
LOG-92,2025-12-04 19:43:55,Server-D,WARN,96.39,995.04
LOG-93,2026-01-14 23:46:13,Server-A,INFO,87.31,766.31
LOG-94,2026-01-29 22:35:12,Server-D,CRITICAL,96.36,1578.74
LOG-95,2025-10-22 22:25:52,Server-D,WARN,97.46,713.32
LOG-96,2026-03-06 05:51:16,Server-E,ERROR,97.16,1320.25
LOG-97,2025-07-06 03:35:53,Server-D,ERROR,97.42,267.76
LOG-98,2026-02-01 22:32:16,Server-D,WARN,97.77,1998.6
LOG-99,2025-11-15 20:43:49,Server-E,ERROR,97.65,1860.16
LOG-100,2025-08-18 10:30:16,Server-D,WARN,91.22,355.93
LOG-101,2025-09-25 13:38:38,Server-A,CRITICAL,92.04,1051.55
LOG-102,2026-01-15 04:14:41,Server-D,ERROR,99.81,1814.14
LOG-103,2025-09-16 18:23:03,Server-E,WARN,88.31,405.07
LOG-104,2026-03-23 09:11:32,Server-E,WARN,99.43,1204.16
LOG-105,2025-06-16 15:47:04,Server-A,INFO,92.41,111.44
LOG-106,2026-03-29 10:50:53,Server-B,WARN,92.36,1687.42
LOG-107,2026-04-26 16:33:17,Server-E,ERROR,88.79,1933.83
LOG-108,2025-11-06 01:00:51,Server-B,ERROR,91.2,698.53
LOG-109,2026-05-01 12:19:05,Server-A,ERROR,91.45,1610.47
LOG-110,2025-07-20 19:44:00,Server-E,ERROR,92.27,1283.12
LOG-111,2026-02-12 08:20:23,Server-C,CRITICAL,95.88,62.14
LOG-112,2026-01-01 03:28:24,Server-E,INFO,96.04,909.2
LOG-113,2026-05-10 05:07:43,Server-A,INFO,94.05,139.44
LOG-114,2025-06-08 18:27:20,Server-A,ERROR,86.62,1936.35
LOG-115,2025-10-14 17:04:23,Server-E,CRITICAL,90.1,422.05
LOG-116,2025-10-08 06:16:15,Server-B,INFO,86.23,1859.84
LOG-117,2026-02-16 21:58:14,Server-A,CRITICAL,99.18,672.71
LOG-118,2025-12-08 02:38:30,Server-B,INFO,86.18,1293.09
LOG-119,2026-04-20 10:02:21,Server-D,WARN,96.34,105.54
LOG-120,2025-06-08 15:51:29,Server-E,ERROR,87.51,433.77
LOG-121,2025-12-22 11:01:11,Server-D,INFO,94.58,1041.82
LOG-122,2026-02-16 13:28:32,Server-C,CRITICAL,89.51,1004.1
LOG-123,2025-12-25 15:25:19,Server-C,WARN,88.05,1450.92
